Potential (V),Current (A)
0.0484991073608398,-0.000030932236768421764
0.05284500122070315,-0.0000306248639390105
0.0583181381225586,-0.00003033418943232389
0.06314706802368164,-0.00003002245284733359
0.0678157806396484,-0.00002974180551973407
0.0729665756225586,-0.00002936119108198907
0.0777950286865234,-0.00002907771613536169
0.0829463005065918,-0.00002874559595511528
0.08809757232666016,-0.00002848415897460657
0.09308767318725586,-0.000028131499675509982
0.09823894500732425,-0.00002779056467261398
0.1033897399902345,-0.000027394241442380018
0.1082191467285155,-0.00002699375818338015
0.11417484283447249,-0.00002658344783412762
0.118682384490967,-0.00002614675759105017
0.12335014343261749,-0.00002565269187471129
0.12769603729248,-0.000025112593903031632
0.13333034515380848,-0.00002448934446874773
0.138320446014404,-0.000023832656552258373
0.143310546875,-0.00002306489113834687
0.1484618186950685,-0.0000221691952901892
0.153773307800293,-0.000021066452063678332
0.157958984375,-0.00001984728987736164
0.163110256195068,-0.00001841063476604176
0.168100357055664,-0.00001683225218584999
0.172607421875,-0.000015045297914184649
0.1784024238586425,-0.000012884380339528439
0.183070182800293,-0.00001036997855408117
0.18838262557983398,-7.726242984063e-6
0.1935334205627445,-4.66833398604649e-6
0.198201656341553,-1.6909307305468244e-6
0.203352928161621,1.93244613910793e-6
0.20769882202148449,5.70846077607712e-6
0.212367057800293,9.62759258982264e-6
0.2178401947021485,0.00001369559595332248
0.222990989685059,0.000018150107280234783
0.22765922546386752,0.00002247161955892807
0.2331323623657225,0.00002655506523296934
0.237478733062744,0.00003055643719562791
0.242790699005127,0.000034209914701932555
0.247780799865723,0.000037399143366201315
0.252932071685791,0.00004015806644019907
0.2582435607910155,0.000041833130126178724
0.2629122734069825,0.0000430958007200388
0.26822376251220703,0.00004379374240670586
0.273536205291748,0.00004371020986582156
0.278043270111084,0.000042876254155999036
0.28271150588989247,0.00004235508004057921
0.28866720199585,0.00004104241634195206
0.293013572692871,0.000039783048123354106
0.2978425025939945,0.00003831811955024024
0.3036375045776365,0.000036679424738395014
0.30830574035644553,0.00003497598299873065
0.313135147094727,0.00003332027063152059
0.317802906036377,0.00003165506768709748
0.32279300689697255,0.0000301456620945828
0.327944278717041,0.00002871576998586532
0.333578109741211,0.00002731114545895255
0.338085174560547,0.000025922335225914092
0.34339714050293,0.00002464109820721206
0.34854793548584,0.00002352973115193893
0.35321664810180653,0.00002236267482658152
0.358206748962402,0.00002135859449481362
0.3631968498229985,0.000020372043763927612
0.3681864738464355,0.00001946801057783887
0.373337745666504,0.00001863989837147526
0.378489017486572,0.000017854743418865857
0.382996082305908,0.00001713651454338106
0.387825012207031,0.000016409031559305748
0.39249324798584,0.00001577276088937655
0.397805213928223,0.000015150234503380482
0.3918495178222655,0.00001442666416551217
0.38734245300292947,0.0000138589739435702
0.382030010223389,0.00001327315476373773
0.377201557159424,0.000012736276403302339
0.372049808502197,0.000012152087947470151
0.367703914642334,0.00001161955151474102
0.361747741699219,0.000011034397175535541
0.35707998275756847,0.00001040331335389054
0.3522505760192875,9.794902325666081e-6
0.34629487991333,9.07010689843444e-6
0.342109680175781,8.35785522212973e-6
0.3371195793151855,7.59154499974102e-6
0.332773208618164,6.64457456878154e-6
0.327622413635254,5.66209018870723e-6
0.3226318359375,4.53630582342157e-6
0.31748104095459,3.1091103664948605e-6
0.312490940093994,1.75372497324134e-6
0.306695938110352,3.0914634407960004e-8
0.302510261535645,-1.918277121149001e-6
0.2971987724304195,-4.141186764172741e-6
0.29253053665161155,-6.41755059405113e-6
0.287379264831543,-9.46064665185986e-6
0.28255033493042,-0.00001237088508787565
0.277721405029297,-0.00001570903168612855
0.272731304168701,-0.00001944346604432208
0.2675800323486325,-0.00002346412384213177
0.2627506256103515,-0.00002743186450970827
0.257761001586914,-0.00003187449601682599
0.252287864685059,-0.00003582344470487437
0.247137069702148,-0.00004029637511848702
0.242790699005127,-0.00004451837958185937
0.23731756210327148,-0.000048164752115553656
0.232649803161621,-0.00005185670579521679
0.227498531341553,-0.0000544672293472104
0.2228302955627445,-0.000057145301070704624
0.218000888824463,-0.00005885744667466501
0.212367057800293,-0.00006024420508765617
0.2073769569396975,-0.00006092943294788715
0.2028698921203615,-0.00006132579073891976
0.19771862030029302,-0.00006081862738938069
0.193050384521484,-0.00005981500089546903
0.18806076049804699,-0.00005888112991669916
0.182748794555664,-0.000057642777392175
0.177597045898438,-0.00005612791301246036
0.172446250915527,-0.000054610576626146226
0.167616844177246,-0.000053007327551313224
0.16294908523559548,-0.00005136743038747227
0.1581201553344725,-0.00004980543508281696
0.1521639823913575,-0.00004830008401768284
0.1474957466125485,-0.000046910951823520056
0.1423449516296385,-0.00004544782132143152
0.1378374099731445,-0.00004422293204697782
0.1323647499084475,-0.0000429768515459728
0.1278576850891115,-0.000041904715544660555
0.12335014343261749,-0.00004080620328750227
0.1180381774902345,-0.00003975750860263362
0.112887382507324,-0.000038860845961607966
0.107414245605469,-0.000037967902244417955
0.10242414474487349,-0.00003715440016094363
0.09807777404785155,-0.00003634837048593912
0.0926051139831543,-0.0000356173459294951
0.0874538421630859,-0.00003490700055408525
0.0823030471801758,-0.000034301497180422316
0.07699060440063475,-0.00003368139186932238
0.0726442337036133,-0.00003305531481601062
0.06733274459838864,-0.00003253706199757292
0.06250333786010745,-0.00003200423361704448
0.0575132369995117,-0.00003151987948513121
0.0523624420166016,-0.00003101908077951517
