Potential (V),Current (A)
0.047210693359375,0.00000475271190225612
0.0530061721801758,0.0000053249423217494
0.0581569671630859,0.00000543539499631152
0.0636301040649414,0.00000554230609850492
0.0668497085571289,0.00000559962609258946
0.0726442337036133,0.00000568657196708955
0.0774736404418945,0.00000576321326661855
0.0832681655883789,0.00000585917405260261
0.0880975723266602,0.00000588300463277847
0.0926046371459961,0.00000600279599893838
0.0977554321289063,0.00000611647010373417
0.102907180786133,0.00000617507612332702
0.108057975769043,0.00000622144762019161
0.112565040588379,0.00000630774957244284
0.118681907653809,0.00000636571348877624
0.12351131439209,0.00000641144106339198
0.12769603729248,0.00000654540053801611
0.132847785949707,0.00000661173726257402
0.138320922851563,0.00000664877006784081
0.143793106079102,0.00000671156340104062
0.147978782653809,0.00000680205084790941
0.15184211730957,0.00000681106757838279
0.15699291229248,0.00000687128522258718
0.163432121276855,0.00000694341906637419
0.167616844177246,0.0000069830275606364
0.173733711242676,0.00000708607331034727
0.178563117980957,0.00000710539461579174
0.183070182800293,0.00000713308872946072
0.187899589538574,0.00000717688271834049
0.193050384521484,0.00000717591683496721
0.19852352142334,0.00000720425487088505
0.203030586242676,0.00000723839002603199
0.208181381225586,0.00000728282793716062
0.212689399719238,0.00000737009577278513
0.217196464538574,0.00000734852073946968
0.223634719848633,0.00000737299342290498
0.228141784667969,0.00000742902557249181
0.233293533325195,0.00000745221041142941
0.237478256225586,0.00000748892125557177
0.242630004882813,0.00000750920844438951
0.247780799865723,0.00000755107066652272
0.252931594848633,0.00000757039197196718
0.257438659667969,0.00000757007001084276
0.26226806640625,0.00000760549301048741
0.267741203308105,0.00000761740739108063
0.272248268127441,0.0000076425258157542
0.277399063110352,0.00000761869523557834
0.283194541931152,0.00000764638934924733
0.288022994995117,0.00000764155993238091
0.293496131896973,0.00000769050711824093
0.297359466552734,0.00000771079430705868
0.30283260345459,0.00000771143822930753
0.307662010192871,0.00000770692895457614
0.313135147094727,0.0000076959804573562
0.317963600158691,0.00000772914972912986
0.322793006896973,0.00000774299587646965
0.327622413635254,0.00000772528437664732
0.331485748291016,0.00000775813168729655
0.33824634552002,0.00000775813168729655
0.343075752258301,0.00000778002868173644
0.347904205322266,0.00000777165587351192
0.352733612060547,0.00000780868867877871
0.357884407043457,0.00000780933260102756
0.362713813781738,0.00000779967194830533
0.36754322052002,0.00000783573705120943
0.37269401550293,0.00000787953285907861
0.37784481048584,0.00000785763586463872
0.383317947387695,0.00000782672213972546
0.387503623962402,0.00000784990697866306
0.392010688781738,0.0000078759912867099
0.397483825683594,0.00000754978282202501
0.392010688781738,0.00000621790604782291
0.388147354125977,0.00000570234988117591
0.382030487060547,0.00000523509879712947
0.377201080322266,0.00000494946652906947
0.372371673583984,0.00000470698432764038
0.366899490356445,0.00000445999467046931
0.362070083618164,0.00000428256134910043
0.358206748962402,0.00000410770371672697
0.352089881896973,0.0000039257620301214
0.347260475158691,0.00000383495262212818
0.341787338256836,0.00000376088792108931
0.335992813110352,0.00000364431616617367
0.33212947845459,0.00000355318479705602
0.32697868347168,0.00000343757892551366
0.321826934814453,0.00000338122572429711
0.316998481750488,0.00000334548076352803
0.311846733093262,0.00000323567201121477
0.307018280029297,0.00000316933528665686
0.302188873291016,0.0000030943047022447
0.296393394470215,0.00000305373032460921
0.29156494140625,0.00000298256327369018
0.287379264831543,0.0000029468192224158
0.282228469848633,0.00000287178863800364
0.277077674865723,0.00000281414668279467
0.272570610046387,0.00000274748890660703
0.267097473144531,0.00000271432054432807
0.262590408325195,0.00000263832316704793
0.25711727142334,0.00000257681767834583
0.251965522766113,0.00000254525912168901
0.247458457946777,0.00000248826199822361
0.242630004882813,0.00000244317925535142
0.237156867980957,0.00000241290854319232
0.23200511932373,0.000002390689587628
0.227498054504395,0.00000236138566833688
0.222024917602539,0.00000229923534789123
0.217196464538574,0.00000226703377848025
0.212367057800293,0.00000219296907744138
0.206893920898438,0.00000218813875108026
0.202386856079102,0.00000218427430809243
0.197236061096191,0.00000211761562241009
0.192728996276855,0.00000206931326829363
0.187577247619629,0.00000204612751986133
0.182426452636719,0.00000201167131308466
0.177919387817383,0.00000198526504391339
0.172446250915527,0.00000193567393580452
0.167939186096191,0.0000019215058273403
0.162466049194336,0.00000185806766239693
0.157636642456055,0.00000184357668331359
0.152164459228516,0.00000178657865035348
0.147656440734863,0.00000181362884177361
0.142505645751953,0.00000170349721884122
0.137354850769043,0.00000168127826327691
0.132204055786133,0.00000164843186212238
0.12769603729248,0.00000161107709573116
0.12254524230957,0.00000156599435285898
0.118038177490234,0.00000153733435581671
0.11224365234375,0.00000151801305037225
0.107414245605469,0.00000145328704093117
0.102263450622559,0.00000140401789394673
0.0964679718017578,0.00000138952691486338
0.0922832489013672,0.00000134251240524463
0.0868101119995117,0.00000133220783027355
0.0823030471801758,0.00000129517502500676
0.0777950286865234,0.00000123366953630466
0.0723228454589844,0.0000011889078450622
0.0674934387207031,0.00000112740235636011
0.0620203018188477,0.00000109165830508573
0.0565471649169922,0.00000105398157757008
0.0517177581787109,0.00000100245870271465
0.0478553771972656,0.00000128132796817226
0.0526838302612305,0.00000260483375313925
0.057835578918457,0.00000297000497084809
0.0633077621459961,0.00000325756900565466
0.0681371688842773,0.00000339314010489034
0.0723228454589844,0.00000353386349161156
0.0784397125244141,0.00000362885930371704
0.0826244354248047,0.00000373802413378144
0.0880975723266602,0.00000375058334611822
0.0929269790649414,0.00000382046164304484
0.0974340438842773,0.0000038723064790247
0.102907180786133,0.00000396440464101033
0.107735633850098,0.00000396150699089048
